HON. YAKUB ABIOUDUN AKANNI BALOGUN, All Progressives Congress, LAGOS
HON. OGUNNISI MICHAEL ABAYOMI, All Progressives Congress, LAGOS
HON. SAMUEL BABATUNDE ADEJARE, All Progressives Congress, LAGOS
HON. ODUBOTE LANRE MUKAILA, All Progressives Congress, LAGOS
HON. TAIWO OYEWOLE ADENEKAN, All Progressives Congress, LAGOS
HON. SUARAU OLUWATOYIN ISIAKA, All Progressives Congress, LAGOS
HON. ABDUL - KABIRU ABAYOMI AYEOLA, All Progressives Congress, LAGOS
HON. MOHAMMED OGOSHI ONAWO, Peoples Democratic Party, NASARAWA
HON. DAVID DAVEMATICS OMBUGADU EMMANUEL, Peoples Democratic Party, NASARAWA
HON. MUSA BABA ONWANA, All Progressives Congress, NASARAWA
HON. ISHAQ AHMED KANA, All Progressives Congress, NASARAWA
HON. KIGBU JOSEPH HARUNA, Peoples Democratic Party, NASARAWA
HON. ZAKARI JIKANTORO HALIRU, Peoples Democratic Party, NIGER
HON. ABDULLAHI IDRIS GARBA, All Progressives Congress, NIGER
HON. ABDULLAHI RICCO MOHAMMED, Peoples Democratic Party, NIGER
HON. ATIKU SHAMAKI, All Progressives Congress, NIGER
HON. AHMED MUKHTAR MOHAMMED, Peoples Democratic Party, NIGER
HON. ABDULMALIK DAGACI USMAN CHECHE, Peoples Democratic Party, NIGER
HON. MOHAMMED UMARU BAGO, All Progressives Congress, NIGER
HON. IDRIS SANI MOHAMMED, Peoples Democratic Party, NIGER
HON. ABDUL EBBO IBRAHIM, Peoples Democratic Party, NIGER
HON. SALIHU ADAMU SHADAFI, All Progressives Congress, NIGER
HON. ADEWUSI TUNDE RAZAQ, PPN, OGUN
HON. AKINLADE A. ISIAQ, Peoples Democratic Party, OGUN
HON. OLUMIDE BABATUNDE OSOBA, All Progressives Congress, OGUN
HON. SAMUEL OLUSEGUN WILLIAMS, All Progressives Congress, OGUN
HON. BABATUNDE OLABODE OGUNOLA, All Progressives Congress, OGUN
HON. ADEKUNLE ADEYEMI, All Progressives Congress, OGUN
HON. ODENEYE OLESEGUN KEHINDE, All Progressives Congress, OGUN
HON. ABIODUN ABUDU-BALOGUN, All Progressives Congress, OGUN
HON. BUKUYOLA TAOFEEK BURAIMO, All Progressives Congress, OGUN
HON. OMOSULE ENIOLORUNDA, Labour Party, ONDO
HON. DEBO JEROME OLOGUNAGBA, Labour Party, ONDO
HON. AKINLAJA IRANOLA JOSEPH, Labour Party, ONDO
HON. MOSHOOD ABIODUN BAKARE, Labour Party, ONDO
HON. IFEDAYO SUNDAY ABEGUNDE, ACN, ONDO
HON. GANNY OLUWADARE DAUDA, Labour Party, ONDO
HON. AKINTOYE ALBERT, Peoples Democratic Party, ONDO
HON. ADEOBA AKINTOLA JOHNSON, Labour Party, ONDO
HON. RAPHAEL OLOYE NOMIYE, Labour Party, ONDO
HON. MAKINDE MIKAIL OLAROTIMI, All Progressives Congress, OSUN
HON. AJAGBE ADETUNJI TAJUDEEN, All Progressives Congress, OSUN
HON. AKINTAYO AMERE GAFARU, All Progressives Congress, OSUN
HON. JULIUS OLUFEMI FAKEYE, All Progressives Congress, OSUN
HON. NATHANIEL IGE AGUNBIAZE, All Progressives Congress, OSUN
HON. FAMUREWA ISRAEL AJIBOLA, All Progressives Congress, OSUN
HON. YUSSUFF LASUN SULAIMON, All Progressives Congress, OSUN
HON. AYO OMIDIRAN, All Progressives Congress, OSUN
HON. ADEYINKA AYANTUNJI AJAYI, All Progressives Congress, OSUN
HON. MULIKAT O. AKANDE-ADEOLA , Peoples Democratic Party, OYO
HON. MURAINA SAUBANA AJIBOLA , Peoples Democratic Party, OYO
HON. OLUSEGUN DOKUN ODEBUNMI, Peoples Democratic Party, OYO
HON. AKINADS- FIJABI SAHEED, All Progressives Congress, OYO
HON. IBRAHIM ADENIYI OLAYFA, ACCORD, OYO
HON. AFEES ADELOWO JIMOH, Peoples Democratic Party, OYO
HON. OLAYEMI SIKIRU BUSARI, ACCORD, OYO
HON. ABIODUN DADA AWOLEYE, All Progressives Congress, OYO
HON. MURITALA KAYODE ADEWALE BUSARI, ACCORD, OYO
HON. OLABIYI JULIUS OYEKOLA, All Progressives Congress, OYO
HON. ADEPOJU SUNDAY ADEYEMI, All Progressives Congress, OYO
HON. KAREEM TAJUDEEN ABISODUN, Peoples Democratic Party, OYO
HON. ABIOLA ADEBUKOLA AJAJA, ACCORD, OYO
HON. MUDASHIRU KAMIL AKINLABI, Peoples Democratic Party, OYO
HON. SIMON DAVOU MWADKWON, Peoples Democratic Party, PLATEAU
HON. AMINU PUNWET JONATHAN, Peoples Democratic Party, PLATEAU
HON. AHMED IDRIS , All Progressives Congress, PLATEAU
HON. BENI LAR, Peoples Democratic Party, PLATEAU
HON. BITRUS B. KAZE, Peoples Democratic Party, PLATEAU
HON. SULEIMAN YAHAYA KWANDE, All Progressives Congress, PLATEAU
HON. EMMANUEL LOKJI LUKA GOAR, Peoples Democratic Party, PLATEAU
HON. INNOCENT ZEITET TIRSEL, Peoples Democratic Party, PLATEAU
HON. DAKUKU ADOL PETERSIDE, All Progressives Congress, RIVERS
HON. KINGSLEY OGUNDU CHINDA, Peoples Democratic Party, RIVERS
HON. BARINADA MPIGI, All Progressives Congress, RIVERS
HON. BLESSING IBIBA NSIEGBE, Peoples Democratic Party, RIVERS
HON. OGBONNA NWUKE, All Progressives Congress, RIVERS
HON. DAWARI IBIETELA GEORGE, All Progressives Congress, RIVERS
HON. BRIGHT TAMUNO GOGO, Peoples Democratic Party, RIVERS
HON. MAURICE PRONEN, All Progressives Congress, RIVERS
HON. KENNETH ANAYO CHIKERE, Peoples Democratic Party, RIVERS
HON. ASITA HONOURABLE , All Progressives Congress, RIVERS
HON. BETTY JOCELYNE OKAGUA-APIAFI, Peoples Democratic Party, RIVERS
HON. ANDREW IGBONULE UCHENDU, All Progressives Congress, RIVERS
HON. SOKONTE HUTTIN DAVIES , All Progressives Congress, RIVERS
HON. ABDULLAHI MUHAMMED WAMAKKO, All Progressives Congress, SOKOTO
HON. NABUNKARI MOHAMMED SA'ADU, All Progressives Congress, SOKOTO
HON. ABDULLAHI SALAME BALARABE, All Progressives Congress, SOKOTO
HON. ALIYU A.A. SHEHU, All Progressives Congress, SOKOTO
HON. AMINU SHEHU SHAGARI , All Progressives Congress, SOKOTO
HON. WAZIRI AMINU TAMBUWAL, All Progressives Congress, SOKOTO
HON. ISA SALIHU BASHIR, All Progressives Congress, SOKOTO
HON. KABIRU MARAFA ACHIDA, All Progressives Congress, SOKOTO
HON. MUSA SARKIN-ADAR , All Progressives Congress, SOKOTO
HON. SHUAIBU GWANDU GOBIR , All Progressives Congress, SOKOTO
HON. UMAR MOHAMMED BATURE, Peoples Democratic Party, SOKOTO
HON. MALLE IBRAHIM AMINU, All Progressives Congress, TARABA
HON. ALBERT TAMINU SAM-TSOKWA, Peoples Democratic Party, TARABA
HON. ISHAKA MOHAMMED BAWA, Peoples Democratic Party, TARABA
HON. JERIMON SAMEUL MANWE, Peoples Democratic Party, TARABA
HON. IBRAHIM TUKUR EL-SUDI, Peoples Democratic Party, TARABA
HON. HARUNA MANU, Peoples Democratic Party, TARABA
HON. BABA BUKAR MACHINAMA, All Progressives Congress, YOBE
HON. GONI BUKAR LAWAN, All Progressives Congress, YOBE
HON. KHADIJA BUKAR IBRAHIM, All Progressives Congress, YOBE
HON. ALI YAKUBU, Peoples Democratic Party, YOBE
HON. ISMAILA AHMED GADAKA, All Progressives Congress, YOBE
HON. HASSAN KAKU EL-BADAWY, All Progressives Congress, YOBE
HON. IBRAHIM SHENU GUSAU, Peoples Democratic Party, ZAMFARA
HON. MU'AZU B/TUDU LAWAL, All Progressives Congress, ZAMFARA
HON. BELLO MARADUN MUTAWALLE, Peoples Democratic Party, ZAMFARA
HON. LAWALI ANKA HASSAN, All Progressives Congress, ZAMFARA
HON. DANGALADIMA UMAR SANI, Peoples Democratic Party, ZAMFARA
HON. BILIYAMINU SHINKAFI YUSUF, Peoples Democratic Party, ZAMFARA
HON. SANI RUWAN DORUWA IBRAHIM, All Progressives Congress, ZAMFARA
