HON. OSAGIE SAMSON RAPHEAL,Edo,Orhionmwon/Uhunmwode,(Federal Constituency),All Progressives Congress
HON. OJO OYETUNDE OLADIMEJI,Ekiti,IJERO/EFON/EKITI WEST,(Federal Constituency),All Progressives Congress
HON. FAPARUSI BAMIDELE AYODELE,Ekiti,EMURE/GBONYIN/EKITI EAST,(Federal Constituency),All Progressives Congress
HON. DARAMOLA ABIMBOLA OLUWAFEMI,Ekiti,EKITI NORTH,(Federal Constituency),All Progressives Congress
HON. BAMIDELE MICHAEL OPEYEMI,Ekiti,ADO EKITI/IREPODUN-IFELODUN,(Federal Constituency),Labour
HON. AJIBOYE ROBINSON GBADEBO,Ekiti,EKITI II,(Federal Constituency),All Progressives Congress
HON. AROWOSOGE ABIOSE IFEOLUWA,Ekiti,EKITI SOUTH WEST/IKERE/ISE -ORUN,(Federal Constituency),All Progressives Congress
HON. NGWU STELLA UCHENWA OBIAGELI,Enugu,Igbo Etiti,(Federal Constituency),Peoples Democratic Party
HON. OKECHUKWU TOBY TOBY,Enugu,Aninri / Agwu / Oji-River,(Federal Constituency),Peoples Democratic Party
HON. CHUKWUEGBO OFORBUIKE GREGORY,Enugu,Enugu North/Enugu South,(Federal Constituency),Peoples Democratic Party
HON. OZIOKOJA ASADU PATRICK,Enugu,Nsukka/Igboeze,(Federal Constituency),Peoples Democratic Party
HON. OZOMGBACHI OGBUEFI   ORA,Enugu,Ezeagu/Udi,(Federal Constituency),Peoples Democratic Party
HON. NNAJI PEACE UZOAMAKA,Enugu,Nkanu East/Nkanu West,(Federal Constituency),Peoples Democratic Party
HON. IFEANYI UGWUANYI,Enugu,Igboeze North/Udenu,(Federal Constituency),Peoples Democratic Party
HON. EBENYI KINGSLEY,Enugu,Enugu_East / Isi-Uzo,(Federal Constituency),Peoples Democratic Party
HON. EGAH ISAH DOBI,FCT,Gwagwalada/Kuje,(Federal Constituency),Peoples Democratic Party
HON. BITRUS ZAPHANIAH JISALO,FCT,ABUJA MUNICIPAL/BWARI,(Federal Constituency),Peoples Democratic Party
HON. AHMED KHAMISU MAILANTARKI,Gombe,Gombe Kwami Funakaye,(Federal Constituency),All Progressives Congress
HON. MANU YUSUF SWA,Gombe,Balanga/Biliri,(Federal Constituency),Peoples Democratic Party
HON. KUMO USMAN BELLO,Gombe,AKKO,(Federal Constituency),Peoples Democratic Party
HON. BELLO BINTA MAIGARI,Gombe,KALTUNGO/SHONGOM,(Federal Constituency),Peoples Democratic Party
HON. GALADIMA SHU'AIBU  UMAR,Gombe,Yamaltu-Deba,(Federal Constituency),Peoples Democratic Party
HON. AHMED UMAR SULEIMAN NAFADA,Gombe,Dukku/Nafada,(Federal Constituency),Peoples Democratic Party
HON. ALPHONSUS IRONA GERALD,Imo,Ohaji / Egbema-Oguta-Oru West,(Federal Constituency),Peoples Democratic Party
HON. AMADI BETHEL NNAEMEKA,Imo,Mbaitoli/Ikeduru,(Federal Constituency),Peoples Democratic Party
HON. IHEDIOHA CHUKWUEMEKA NKEM,Imo,Aboh Mbaise/Ngor Okpala Federal Consistuency,(Federal Constituency),Peoples Democratic Party
HON. IFEANYICHUKWU EDDIE MBADIWE,Imo,IDEATO NORTH/SOUTH,(Federal Constituency),All Progressives Grand Alliance
HON. ONYERERI CHUKWUDI JONES VICTOR,Imo,NKWERRE/NWANGELE/ISU/NJABA,(Federal Constituency),Peoples Democratic Party
HON. ONYEWUCHI EZENWA FRANCIS,Imo,OWERRI MINICIPAL/NORTH/WEST,(Federal Constituency),All Progressives Grand Alliance
HON. UWAZURIKE CHUDI PATRICK,Imo,EHIME/IHITTE UBOMA/OBONO,(Federal Constituency),Peoples Democratic Party
HON. IGBOKWE RAPHEAL UZOCHI NNANNA,Imo,AHIAZU-MBAISE/EZINITTE,(Federal Constituency),Peoples Democratic Party
HON. ALAGBASO JERRY,Imo,ORLU/ORSU/ORUE AST,(Federal Constituency),Peoples Democratic Party
HON. IHEDIOHA CHUKWUEMEKA NKEM,Imo,Aboh Mbaise/Ngor Okpala Federal Consistuency,(Federal Constituency),Peoples Democratic Party
HON. OMEGARA MATTHEW M.,Imo,Onuimo/Okigwe/Isiala Mbano,(Federal Constituency),All Progressives Congress
HON. ADAMU BASHIR,Jigawa,Kazaure/Roni Gwiwa,(Federal Constituency),Peoples Democratic Party
HON. DUNARI   YUSUFU SALE,Jigawa,Mallam Madori/Kaugama,(Federal Constituency),Peoples Democratic Party
HON.  KHABEEB MUSTAPHA,Jigawa,Jahun/Miga,(Federal Constituency),Peoples Democratic Party
HON. NAKUDU  SABO  MOHAMMED,Jigawa,Birnin-Kudu/Buji,(Federal Constituency),Peoples Democratic Party
